Municipio;UF;Total;count;mean;std;min;25%;50%;75%;max
COLORADO;RS;42383;67;632.58;155.68;280;600;600;750;1038
COLORADO DO OESTE;RO;282451;404;699.14;241.41;255;600;662;800;1536
COLUNA;MG;988477;1419;696.6;159.68;280;600;650;750;2654
COMBINADO;TO;463704;686;675.95;166.99;230;600;650;750;1594
COMENDADOR GOMES;MG;204924;302;678.56;175.3;205;600;650;750;1494
COMENDADOR LEVY GASPARIAN;RJ;572883;846;677.17;171.54;205;600;650;750;1544
COMERCINHO;MG;943385;1460;646.15;147.66;300;600;600;700;1586
COMODORO;MT;1023505;1349;758.71;235.23;180;600;750;850;1928
CONCEICAO;PB;2523813;3734;675.9;141.31;205;600;650;750;1878
CONCEICAO DA APARECIDA;MG;489968;712;688.16;175.37;180;600;650;800;1286
CONCEICAO DA BARRA;ES;2397362;3487;687.51;192.49;205;600;650;750;2120
CONCEICAO DA BARRA DE MINAS;MG;296736;435;682.15;119.55;325;600;650;750;1132
CONCEICAO DA FEIRA;BA;2467108;3855;639.98;151.18;180;600;600;716;1636
CONCEICAO DAS ALAGOAS;MG;1480494;2149;688.92;159.99;205;600;650;750;1736
CONCEICAO DAS PEDRAS;MG;182000;259;702.7;165.26;205;600;690;800;1444
CONCEICAO DE IPANEMA;MG;489734;718;682.08;139.13;300;600;650;750;1302
CONCEICAO DE MACABU;RJ;2270768;3377;672.42;143.57;205;600;600;750;1936
CONCEICAO DO ALMEIDA;BA;1995668;3087;646.47;135.83;180;600;600;700;1960
CONCEICAO DO ARAGUAIA;PA;2614572;3697;707.21;214.59;180;600;700;800;2596
CONCEICAO DO CANINDE;PI;1005651;1542;652.17;122.59;180;600;600;700;1402
CONCEICAO DO CASTELO;ES;565042;757;746.42;178.45;230;650;750;800;1728
CONCEICAO DO COITE;BA;8306888;12143;684.09;144.98;180;600;650;750;2180
CONCEICAO DO JACUIPE;BA;4193375;6407;654.5;131.06;205;600;600;700;2220
CONCEICAO DO LAGO-ACU;MA;2203868;2887;763.38;206.62;180;600;750;850;2062
CONCEICAO DO MATO DENTRO;MG;1667616;2389;698.04;188.49;205;600;650;750;2120
CONCEICAO DO PARA;MG;234181;362;646.91;176.65;205;600;600;750;1294
CONCEICAO DO RIO VERDE;MG;683876;1018;671.78;194.2;180;600;650;750;2262
CONCEICAO DO TOCANTINS;TO;388453;513;757.22;240.6;325;600;700;850;2646
CONCEICAO DOS OUROS;MG;415665;587;708.12;183.67;180;600;650;800;1636
CONCHAL;SP;1648703;2353;700.68;167.65;263;600;650;790;2160
CONCHAS;SP;731280;1047;698.45;189.58;205;600;650;750;1744
CONCORDIA;SC;884460;1237;715.0;198.53;205;600;700;800;1736
CONCORDIA DO PARA;PA;5011586;7030;712.89;191.31;205;600;650;760;2454
CONDADO;PB;899259;1317;682.81;150.72;205;600;650;750;1878
CONDADO;PE;2629781;3941;667.29;165.52;180;600;640;750;2170
CONDE;BA;3754260;5438;690.38;171.24;205;600;650;750;2120
CONDE;PB;3936822;5687;692.25;179.91;180;600;650;750;2262
CONDEUBA;BA;1917560;2844;674.25;144.17;180;600;650;750;1962
CONDOR;RS;228874;353;648.37;149.72;205;600;600;750;1252
CONEGO MARINHO;MG;1113263;1612;690.61;152.97;230;600;650;750;1928
CONFINS;MG;193779;294;659.11;192.55;180;600;650;787;1344
CONFRESA;MT;2025175;2789;726.13;197.7;180;600;700;800;1868
CONGO;PB;847242;1276;663.98;128.99;230;600;600;750;1686
CONGONHAL;MG;310347;478;649.26;200.54;205;545;650;750;1494
CONGONHAS;MG;1307801;1887;693.06;196.92;205;600;692;800;2062
CONGONHAS DO NORTE;MG;476013;665;715.81;166.01;300;600;650;800;1728
CONGONHINHAS;PR;581319;853;681.5;188.73;205;600;650;750;2086
CONQUISTA;MG;374654;546;686.18;165.54;325;600;650;750;1694
CONQUISTA D'OESTE;MT;187476;238;787.71;217.6;255;650;750;900;1920
CONSELHEIRO LAFAIETE;MG;2397251;3367;711.98;191.03;205;600;700;800;2120
CONSELHEIRO MAIRINCK;PR;186296;281;662.98;187.47;205;600;600;750;1636
CONSELHEIRO PENA;MG;1724914;2523;683.68;152.37;180;600;650;750;1778
CONSOLACAO;MG;150162;222;676.41;138.89;263;600;650;750;1444
CONSTANTINA;RS;255323;372;686.35;193.56;180;600;650;770;1586
CONTAGEM;MG;28957345;43022;673.08;151.15;180;600;650;750;2604
CONTENDA;PR;768243;1130;679.86;205.64;205;600;650;750;2212
CONTENDAS DO SINCORA;BA;547715;810;676.19;154.43;180;600;650;750;1484
COQUEIRAL;MG;551538;850;648.87;175.15;180;590;650;750;1344
COQUEIRO BAIXO;RS;10629;15;708.6;244.69;325;600;600;750;1394
COQUEIRO SECO;AL;758762;1134;669.1;154.52;230;600;650;750;1836
COQUEIROS DO SUL;RS;37023;51;725.94;231.15;300;600;700;875;1344
CORACAO DE JESUS;MG;2911502;4214;690.91;155.14;205;600;650;750;2096
CORACAO DE MARIA;BA;4794059;7313;655.55;120.64;180;600;600;700;1770
CORBELIA;PR;473474;702;674.46;201.01;205;600;650;784;1494
CORDEIRO;RJ;1111696;1632;681.19;175.63;180;600;650;750;1786
CORDEIROPOLIS;SP;347273;531;654.0;218.68;205;490;650;750;1554
CORDEIROS;BA;867154;1276;679.59;126.56;230;600;650;750;1502
CORDILHEIRA ALTA;SC;104241;135;772.16;182.88;350;650;750;808;1636
CORDISBURGO;MG;777314;1174;662.11;138.87;205;600;600;700;1820
CORDISLANDIA;MG;234074;341;686.43;214.15;205;600;650;800;1544
COREAU;CE;3085496;4691;657.75;155.1;180;600;600;750;2220
COREMAS;PB;2030715;2977;682.13;160.79;205;600;650;750;1886
CORGUINHO;MS;241429;357;676.27;155.99;205;600;650;750;1452
CORIBE;BA;2408353;3605;668.06;129.89;255;600;600;750;1778
CORINTO;MG;1737452;2555;680.02;180.22;180;600;650;750;1978
CORNELIO PROCOPIO;PR;903904;1328;680.65;183.52;180;600;650;800;1596
COROACI;MG;941708;1381;681.9;134.02;300;600;650;750;1586
COROADOS;SP;209513;316;663.02;180.19;205;600;650;750;1394
COROATA;MA;6830398;9689;704.96;217.6;180;600;650;800;2738
COROMANDEL;MG;1701200;2483;685.14;139.51;205;600;650;750;1444
CORONEL BARROS;RS;43490;60;724.83;146.16;490;600;650;800;1252
CORONEL BICACO;RS;533416;772;690.95;169.27;300;600;650;750;1636
CORONEL DOMINGOS SOARES;PR;626766;888;705.82;160.79;180;600;666;787;1512
CORONEL EZEQUIEL;RN;719228;1090;659.84;137.93;205;600;640;750;1620
CORONEL FABRICIANO;MG;4225219;6249;676.14;176.63;180;600;650;750;2120
CORONEL FREITAS;SC;214857;313;686.44;205.38;180;600;700;800;1444
CORONEL JOAO PESSOA;RN;494817;764;647.67;158.06;205;600;600;740;1486
CORONEL JOAO SA;BA;2891911;4300;672.54;133.76;180;600;650;750;1828
CORONEL JOSE DIAS;PI;910930;1389;655.82;128.42;280;600;600;700;1978
CORONEL MACEDO;SP;223164;325;686.66;159.3;300;600;650;750;1368
CORONEL MARTINS;SC;39583;72;549.76;203.15;180;395;595;700;1444
CORONEL MURTA;MG;874587;1319;663.07;153.83;205;600;650;750;1544
CORONEL PACHECO;MG;139271;208;669.57;152.63;255;600;650;750;1352
CORONEL PILAR;RS;7705;12;642.08;121.31;375;600;625;687;810
CORONEL SAPUCAIA;MS;2426246;3379;718.04;185.88;205;600;650;791;2470
CORONEL VIVIDA;PR;720312;1037;694.61;198.63;205;600;650;800;1786
CORONEL XAVIER CHAVES;MG;102585;149;688.49;247.54;280;600;650;800;1928
CORREGO DANTA;MG;88898;130;683.83;211.7;300;600;650;800;1494
CORREGO DO BOM JESUS;MG;110261;168;656.32;209.27;280;600;601;700;1636
CORREGO DO OURO;GO;134866;204;661.11;170.1;230;600;640;750;1302
CORREGO FUNDO;MG;76227;113;674.58;173.48;325;600;650;750;1444
CORREGO NOVO;MG;322065;476;676.61;133.4;230;600;650;750;1376
CORREIA PINTO;SC;688522;969;710.55;166.2;230;600;700;800;1644
CORRENTE;PI;3129660;4453;702.82;185.43;180;600;650;760;2120
CORRENTES;PE;2811343;4128;681.04;158.18;230;600;650;750;2262
CORRENTINA;BA;3420859;4969;688.44;165.88;205;600;650;750;1970
CORTES;PE;1772562;2598;682.28;152.37;180;600;650;750;1636
CORUMBA;MS;6625846;9041;732.87;218.96;180;600;700;800;2362
CORUMBA DE GOIAS;GO;763241;1088;701.51;165.58;230;600;650;750;1920
CORUMBAIBA;GO;379730;538;705.82;196.94;205;600;700;800;1886
CORUMBATAI;SP;154646;231;669.46;172.33;205;600;650;750;1344
CORUMBATAI DO SUL;PR;199406;298;669.15;195.68;205;600;600;750;1828
CORUMBIARA;RO;246393;351;701.97;211.01;255;600;700;800;1544
CORUPA;SC;269280;370;727.78;199.56;230;600;695;800;2170
CORURIPE;AL;5261760;7663;686.64;158.77;205;600;650;750;2212
COSMOPOLIS;SP;1038469;1521;682.75;189.19;180;600;650;800;1594
COSMORAMA;SP;540871;767;705.18;151.21;305;600;650;759;1594
COSTA MARQUES;RO;1370214;1902;720.41;174.39;205;600;700;800;2170
COSTA RICA;MS;2031495;2884;704.4;157.03;205;600;650;800;1786
COTEGIPE;BA;1793672;2557;701.48;173.37;205;600;650;750;1962
COTIA;SP;8434642;11712;720.17;190.02;180;600;700;800;2454
COTIPORA;RS;14496;25;579.84;220.35;280;400;590;750;1102
COTRIGUACU;MT;418166;573;729.78;208.48;300;650;750;810;1978
COUTO DE MAGALHAES;TO;491020;687;714.73;197.26;205;600;650;800;1728
COUTO DE MAGALHAES DE MINAS;MG;439829;654;672.52;156.68;205;600;640;750;2312
COXILHA;RS;53325;82;650.3;179.26;205;600;600;750;1434
COXIM;MS;2079762;3024;687.75;163.87;180;600;650;750;2020
COXIXOLA;PB;268746;407;660.31;132.89;300;600;600;750;1444
CRAIBAS;AL;3437297;4902;701.2;174.92;180;600;650;790;2262
CRATEUS;CE;6281514;9067;692.79;173.45;50;600;650;750;2312
CRATO;CE;13267502;19618;676.29;154.32;180;600;650;750;2454
CRAVINHOS;SP;1530932;2276;672.64;152.78;180;600;650;750;1786
CRAVOLANDIA;BA;563275;832;677.01;178.12;300;600;620;750;1778
CRICIUMA;SC;3631852;5134;707.41;179.53;180;600;650;800;2070
CRISOLITA;MG;696901;1029;677.26;184.48;288;600;640;750;1878
CRISOPOLIS;BA;3270110;4949;660.76;145.76;205;600;600;750;2112
CRISSIUMAL;RS;194941;285;684.0;203.32;205;600;650;800;1444
CRISTAIS;MG;442445;675;655.47;220.99;205;490;650;750;1646
CRISTAIS PAULISTA;SP;164681;251;656.1;228.96;205;490;650;750;1728
CRISTAL;RS;403194;600;671.99;170.36;230;600;650;750;1628
CRISTAL DO SUL;RS;214166;334;641.22;128.54;280;600;600;737;1060
CRISTALANDIA;TO;619178;925;669.38;176.41;205;600;640;750;1478
CRISTALANDIA DO PIAUI;PI;993241;1385;717.14;213.33;180;600;650;800;2454
CRISTALIA;MG;1158199;1723;672.2;148.23;230;600;600;750;1928
CRISTALINA;GO;3961274;5530;716.32;188.36;180;600;700;800;2654
CRISTIANO OTONI;MG;253229;354;715.34;206.94;300;600;650;800;1878
CRISTIANOPOLIS;GO;262394;381;688.7;212.0;205;600;650;800;2730
CRISTINA;MG;439204;626;701.6;194.37;205;600;650;800;1645
CRISTINAPOLIS;SE;3080329;4577;673.0;149.31;180;600;650;750;2162
CRISTINO CASTRO;PI;1630692;2333;698.97;165.82;238;600;650;750;1828
CRISTOPOLIS;BA;1527800;2191;697.31;150.6;280;600;650;750;1920
CRIXAS;GO;583443;884;660.0;199.39;180;600;650;750;1594
CRIXAS DO TOCANTINS;TO;106413;154;690.99;189.23;230;600;650;750;1552
CROATA;CE;2350009;3451;680.96;162.53;180;600;650;750;2120
CROMINIA;GO;338256;497;680.6;142.81;180;600;650;750;1544
CRUCILANDIA;MG;253841;384;661.04;162.87;300;600;650;750;1252
CRUZ;CE;3483643;4981;699.39;165.86;205;600;650;750;2120
CRUZ ALTA;RS;2093427;3016;694.11;173.54;180;600;650;794;1836
CRUZ DAS ALMAS;BA;6203281;9626;644.43;117.62;180;600;600;700;1878
CRUZ DO ESPIRITO SANTO;PB;3083140;4754;648.54;146.2;180;600;600;740;1886
CRUZ MACHADO;PR;573619;801;716.13;182.79;255;650;700;800;1928
CRUZALIA;SP;63554;94;676.11;167.73;325;600;640;750;1386
CRUZALTENSE;RS;19879;31;641.26;151.27;325;600;632;700;1152
CRUZEIRO;SP;3852518;5861;657.31;159.36;180;600;600;750;2496
CRUZEIRO DA FORTALEZA;MG;280048;397;705.41;169.52;280;600;650;800;1594
CRUZEIRO DO IGUACU;PR;133248;195;683.32;180.04;255;600;650;750;1594
CRUZEIRO DO OESTE;PR;797164;1203;662.65;188.28;180;600;650;750;1728
CRUZEIRO DO SUL;AC;10142924;13518;750.33;222.59;180;600;700;800;2420
CRUZEIRO DO SUL;PR;197855;303;652.99;190.37;230;600;600;750;1544
CRUZEIRO DO SUL;RS;269571;400;673.93;146.95;255;600;650;750;1726
CRUZETA;RN;737673;1162;634.83;151.9;205;600;600;700;1628
CRUZILIA;MG;1108839;1653;670.8;133.68;205;600;650;750;1636
CRUZMALTINA;PR;168107;249;675.13;170.53;230;600;650;750;1344
CUBATAO;SP;6077226;8864;685.61;143.08;205;600;650;750;1786
CUBATI;PB;1070884;1658;645.89;154.09;205;600;600;740;2262
CUIABA;MT;28496051;40318;706.78;181.68;180;600;690;800;2604
CUITE;PB;2970608;4480;663.08;133.99;205;600;600;750;2070
CUITE DE MAMANGUAPE;PB;1133368;1691;670.24;160.88;205;600;650;750;1870
CUITEGI;PB;939083;1401;670.29;162.54;255;600;650;750;1820
CUJUBIM;RO;887251;1272;697.52;229.5;180;600;700;800;1970
CUMARI;GO;108121;144;750.84;208.28;205;600;745;802;1694
CUMARU;PE;3175184;4890;649.32;120.84;230;600;600;700;1620
CUMARU DO NORTE;PA;1165894;1552;751.22;175.79;288;650;750;800;1928
CUMBE;SE;870270;1373;633.85;117.02;325;600;600;650;2354
CUNHA;SP;1712865;2542;673.83;148.21;180;600;650;750;1508
CUNHA PORA;SC;122597;187;655.6;189.06;205;600;650;750;1244
CUNHATAI;SC;10340;13;795.38;195.19;540;650;750;900;1222
CUPARAQUE;MG;461290;690;668.54;151.65;255;600;600;750;1452
CUPIRA;PE;2953443;4359;677.55;142.65;230;600;650;750;2404
CURACA;BA;5420163;8069;671.73;164.87;180;600;600;750;2312
CURIMATA;PI;1501640;2149;698.76;169.68;205;600;650;750;1928
CURIONOPOLIS;PA;2545781;3642;699.01;181.07;180;600;650;760;2212
CURITIBA;PR;38198674;56377;677.56;168.43;180;600;650;750;2654
CURITIBANOS;SC;1693355;2362;716.92;176.82;205;600;700;800;1536
CURIUVA;PR;724832;1072;676.15;170.65;205;600;650;750;1402
CURRAIS;PI;808340;1168;692.07;165.45;205;600;650;750;1728
CURRAIS NOVOS;RN;2938145;4528;648.88;159.79;180;600;640;750;2454
CURRAL DE CIMA;PB;1037758;1555;667.37;158.41;205;600;600;750;2120
CURRAL DE DENTRO;MG;1228077;1802;681.51;136.21;205;600;650;750;1686
CURRAL NOVO DO PIAUI;PI;913778;1303;701.29;162.1;300;600;650;750;1670
CURRAL VELHO;PB;340992;507;672.57;132.24;300;600;650;750;1302
CURRALINHO;PA;5402648;6688;807.81;253.34;180;650;750;900;3088
CURRALINHOS;PI;636482;891;714.35;190.73;180;600;650;800;1778
CURUA;PA;2023290;2771;730.17;218.2;180;600;650;800;2596
CURUCA;PA;6975683;10232;681.75;146.22;205;600;650;750;2120
CURURUPU;MA;6002285;8954;670.35;151.03;205;600;600;750;2120
CURVELANDIA;MT;392906;569;690.52;170.28;205;600;650;750;1912
CURVELO;MG;4614853;6803;678.36;158.27;180;600;650;750;2020
CUSTODIA;PE;6196312;9466;654.59;130.77;180;600;600;740;1734
CUTIAS;AP;783189;968;809.08;268.69;180;650;750;921;2312
DAMIANOPOLIS;GO;435524;628;693.51;143.99;300;600;650;750;1586
DAMIAO;PB;784653;1147;684.09;145.7;255;600;650;750;1778
DAMOLANDIA;GO;280807;413;679.92;137.07;400;600;650;750;1552
DARCINOPOLIS;TO;662938;971;682.74;194.19;180;600;650;750;2120
DARIO MEIRA;BA;1597430;2338;683.25;169.7;288;600;650;750;2178
DATAS;MG;645474;937;688.87;174.94;205;600;650;750;1644
DAVID CANABARRO;RS;50282;72;698.36;178.43;205;600;650;752;1352
DAVINOPOLIS;GO;93769;139;674.6;201.46;300;600;650;750;1544
DAVINOPOLIS;MA;1072881;1583;677.75;216.46;180;590;700;800;1786
DELFIM MOREIRA;MG;423704;597;709.72;182.79;205;600;650;800;1578
DELFINOPOLIS;MG;293445;409;717.47;195.17;205;600;700;800;2362
DELMIRO GOUVEIA;AL;5953156;8663;687.19;174.25;180;600;650;750;2312
DELTA;MG;930703;1335;697.16;164.61;205;600;650;750;1928
DEMERVAL LOBAO;PI;3055756;4563;669.68;128.57;255;600;610;750;1736
DENISE;MT;518697;736;704.75;164.39;205;600;700;752;1586
DEODAPOLIS;MS;525766;778;675.79;207.5;180;600;650;750;1936
DEPUTADO IRAPUAN PINHEIRO;CE;1092881;1630;670.48;145.92;280;600;640;750;1686
DERRUBADAS;RS;51239;80;640.49;193.07;180;520;640;750;1144
DESCALVADO;SP;474388;729;650.74;220.16;180;540;650;750;1786
DESCANSO;SC;119272;161;740.82;201.59;205;600;740;816;1544
DESCOBERTO;MG;375669;584;643.27;152.35;180;600;600;740;1578
DESTERRO;PB;1574011;2365;665.54;126.03;288;600;650;750;1652
DESTERRO DE ENTRE RIOS;MG;293265;427;686.8;166.56;300;600;650;750;1736
DESTERRO DO MELO;MG;254584;377;675.29;123.82;325;600;650;750;1502
DEZESSEIS DE NOVEMBRO;RS;198566;295;673.11;148.1;300;600;650;750;1444
DIADEMA;SP;17029778;24848;685.36;146.81;180;600;650;750;2596
DIAMANTE;PB;892020;1333;669.18;157.53;205;600;650;750;1636
DIAMANTE D'OESTE;PR;220627;311;709.41;241.05;205;600;690;800;1636
DIAMANTE DO NORTE;PR;201866;303;666.22;138.5;180;600;650;750;1252
DIAMANTE DO SUL;PR;227545;331;687.45;168.11;255;600;650;750;1636
DIAMANTINA;MG;3423546;5071;675.12;171.38;180;600;650;750;1850
DIAMANTINO;MT;769808;1100;699.83;251.13;180;590;700;800;2170
DIANOPOLIS;TO;1278532;1780;718.28;203.35;180;600;700;800;1978
DIAS D'AVILA;BA;8926130;13467;662.82;145.92;180;600;650;750;2996
DILERMANDO DE AGUIAR;RS;185237;274;676.05;177.29;325;600;650;750;1718
DIOGO DE VASCONCELOS;MG;353961;531;666.59;163.02;230;600;650;750;1526
DIONISIO;MG;518994;768;675.77;147.3;180;600;650;750;1636
DIONISIO CERQUEIRA;SC;423290;587;721.11;185.41;205;600;700;800;1586
DIORAMA;GO;133838;200;669.19;135.77;300;600;605;750;1294
DIRCE REIS;SP;58946;86;685.42;180.26;300;600;650;750;1444
DIRCEU ARCOVERDE;PI;1079194;1579;683.47;152.11;280;600;650;750;1586
DISTRITO ESTADUAL DE FERNANDO DE NORONHA;PE;25419;37;687.0;171.24;375;600;600;750;1202
DIVINA PASTORA;SE;549817;816;673.8;198.65;180;600;650;750;2312
DIVINESIA;MG;272015;400;680.04;168.63;230;600;650;750;1444
DIVINO;MG;1844501;2672;690.31;161.78;205;600;650;750;1736
DIVINO DAS LARANJEIRAS;MG;554527;822;674.61;127.88;325;600;600;750;1502
DIVINO DE SAO LOURENCO;ES;269968;403;669.9;219.51;255;590;650;800;1870
DIVINOLANDIA;SP;590621;837;705.64;140.66;305;600;650;750;1536
DIVINOLANDIA DE MINAS;MG;755238;1061;711.82;156.26;300;600;650;800;1402
DIVINOPOLIS;MG;5772630;8394;687.71;164.91;180;600;650;750;2070
DIVINOPOLIS DE GOIAS;GO;729146;1069;682.08;143.68;230;600;650;750;1594
DIVINOPOLIS DO TOCANTINS;TO;655499;947;692.18;168.42;205;600;650;750;1628
DIVISA ALEGRE;MG;918389;1381;665.02;142.82;280;600;642;750;1720
DIVISA NOVA;MG;246386;355;694.05;212.51;205;600;650;800;2020
DIVISOPOLIS;MG;1670241;2602;641.91;124.72;205;600;600;650;1476
DOBRADA;SP;421575;608;693.38;173.17;205;600;650;750;1586
DOIS CORREGOS;SP;911403;1319;690.98;194.74;205;600;650;790;1828
DOIS IRMAOS;RS;208660;302;690.93;225.58;180;600;650;800;1586
DOIS IRMAOS DAS MISSOES;RS;87688;128;685.06;186.05;300;600;650;800;1260
DOIS IRMAOS DO BURITI;MS;1007222;1411;713.84;174.66;230;600;650;786;1728
DOIS IRMAOS DO TOCANTINS;TO;795747;1150;691.95;145.0;300;600;650;750;1544
DOIS LAJEADOS;RS;26225;40;655.62;177.32;325;600;650;750;1194
DOIS RIACHOS;AL;1807040;2665;678.06;129.46;255;600;650;750;1536
DOIS VIZINHOS;PR;1178867;1682;700.87;188.36;205;600;650;800;1768
DOLCINOPOLIS;SP;148307;213;696.28;170.43;280;600;650;750;1586
DOM AQUINO;MT;588717;832;707.59;159.1;205;600;650;800;1736
DOM BASILIO;BA;1256344;1839;683.17;126.52;300;600;650;750;1444
DOM BOSCO;MG;321898;465;692.25;160.32;255;600;650;750;1394
DOM CAVATI;MG;187836;285;659.07;182.25;230;600;650;750;1402
DOM ELISEU;PA;4390282;6438;681.93;154.35;205;600;650;750;1946
DOM EXPEDITO LOPES;PI;656472;976;672.61;150.44;255;600;650;750;1636
DOM FELICIANO;RS;662765;963;688.23;191.73;180;600;650;750;1786
DOM INOCENCIO;PI;1381532;2070;667.41;129.99;180;600;600;750;1636
DOM JOAQUIM;MG;483653;702;688.96;146.23;280;600;650;750;1678
DOM MACEDO COSTA;BA;528420;834;633.6;125.15;180;600;600;688;1402
DOM PEDRITO;RS;1827651;2722;671.44;165.72;180;600;650;750;1923
DOM PEDRO;MA;3014555;4402;684.81;139.33;180;600;650;750;1870
DOM PEDRO DE ALCANTARA;RS;74672;107;697.87;144.93;300;600;650;780;1202
DOM SILVERIO;MG;270786;406;666.96;149.04;300;600;627;750;1486
DOM VICOSO;MG;169260;239;708.2;145.62;300;600;650;750;1294
DOMINGOS MARTINS;ES;829699;1258;659.54;224.59;180;490;650;800;1644
DOMINGOS MOURAO;PI;676244;957;706.63;165.67;300;600;650;750;1728
DONA EMMA;SC;26989;38;710.24;264.65;325;600;636;847;1252
DONA EUSEBIA;MG;302732;438;691.17;169.5;280;600;650;784;1544
DONA FRANCISCA;RS;142150;216;658.1;167.34;288;600;640;750;1444
DONA INES;PB;1465251;2116;692.46;173.37;205;600;650;750;2304
DORES DE CAMPOS;MG;306936;435;705.6;165.89;205;600;650;800;1786
DORES DE GUANHAES;MG;355997;508;700.78;173.95;255;600;650;750;1486
DORES DO INDAIA;MG;455336;687;662.79;160.77;205;600;650;750;1478
DORES DO RIO PRETO;ES;372277;568;655.42;207.03;180;590;650;750;1686
DORES DO TURVO;MG;397674;580;685.64;143.53;180;600;650;750;1386
DORESOPOLIS;MG;79746;115;693.44;178.21;325;600;650;750;1352
DORMENTES;PE;2063334;3116;662.17;139.87;180;600;600;750;1586
DOURADINA;MS;253022;385;657.2;239.79;205;540;600;750;1922
DOURADINA;PR;210631;309;681.65;177.0;230;600;650;800;1352
DOURADO;SP;385877;567;680.56;146.88;300;600;650;750;1728
DOURADOQUARA;MG;81002;126;642.87;168.45;205;600;600;730;1394
DOURADOS;MS;8895994;12483;712.65;205.32;180;600;700;800;2396
DOUTOR CAMARGO;PR;170903;250;683.61;221.48;263;600;640;800;1544
DOUTOR MAURICIO CARDOSO;RS;79161;119;665.22;160.85;325;600;650;750;1110
DOUTOR PEDRINHO;SC;25880;35;739.43;230.01;325;600;650;882;1444
DOUTOR RICARDO;RS;12605;18;700.28;266.63;350;577;650;837;1394
DOUTOR SEVERIANO;RN;734957;1120;656.21;148.96;180;600;650;750;1544
DOUTOR ULYSSES;PR;568273;850;668.56;181.49;205;600;650;750;1594
DOVERLANDIA;GO;394402;591;667.35;173.95;205;600;650;750;1502
DRACENA;SP;880796;1310;672.36;184.97;180;600;650;750;1636
DUARTINA;SP;403927;588;686.95;206.99;205;600;650;792;1936
DUAS BARRAS;RJ;702295;1063;660.67;170.84;180;600;650;750;1978
DUAS ESTRADAS;PB;573000;844;678.91;167.34;255;600;650;750;2220
DUERE;TO;408953;555;736.85;190.94;255;600;700;800;1928
DUMONT;SP;414019;594;697.0;161.16;230;600;650;750;1878
DUQUE BACELAR;MA;2113359;2944;717.85;190.1;325;600;650;750;2262
DUQUE DE CAXIAS;RJ;80589228;121591;662.79;144.1;180;600;600;750;2212
DURANDE;MG;631364;879;718.28;176.22;205;600;650;800;2060
ECHAPORA;SP;418208;617;677.81;151.62;230;600;650;750;1594
ECOPORANGA;ES;1665141;2479;671.7;157.91;180;600;650;750;1586
EDEALINA;GO;238883;354;674.81;166.12;205;600;650;750;1394
EDEIA;GO;778742;1148;678.35;175.96;205;600;650;766;1394
EIRUNEPE;AM;5085173;6286;808.97;257.28;205;650;750;900;2596
ELDORADO;MS;580426;861;674.13;212.34;230;600;650;750;1778
ELDORADO;SP;990713;1392;711.72;191.14;180;600;700;800;1828
ELDORADO DO SUL;RS;2284041;3348;682.21;177.88;180;600;650;750;1778
ELDORADO DOS CARAJAS;PA;2537171;3384;749.76;217.68;205;650;750;850;2412
ELESBAO VELOSO;PI;1374615;2070;664.07;145.56;205;600;640;750;1736
ELIAS FAUSTO;SP;1032006;1479;697.77;168.34;205;600;650;750;1686
ELISEU MARTINS;PI;607661;918;661.94;145.27;205;600;600;741;1668
ELISIARIO;SP;163595;241;678.82;143.33;375;600;650;750;1394
ELISIO MEDRADO;BA;882209;1392;633.77;135.97;180;600;600;700;1820
ELOI MENDES;MG;1136028;1654;686.84;187.51;205;600;650;750;2028
EMAS;PB;589325;893;659.94;134.62;300;600;600;740;1728
EMBAUBA;SP;74493;109;683.42;154.44;230;600;650;760;1252
EMBU;SP;18095517;26212;690.35;154.7;180;600;650;750;2020
EMBU-GUACU;SP;5187334;7610;681.65;155.55;180;600;650;750;2128
EMILIANOPOLIS;SP;101420;154;658.57;209.06;205;600;640;750;1486
ENCANTADO;RS;311239;433;718.8;195.13;248;600;700;800;1636
ENCANTO;RN;702359;1071;655.8;155.72;230;600;640;750;1502
ENCRUZILHADA;BA;2543178;3748;678.54;167.43;180;600;650;750;2178
ENCRUZILHADA DO SUL;RS;1248164;1825;683.93;157.78;180;600;650;750;1636
ENEAS MARQUES;PR;251831;347;725.74;196.42;205;600;650;800;1886
ENGENHEIRO BELTRAO;PR;603013;925;651.91;174.03;205;600;640;750;1636
ENGENHEIRO CALDAS;MG;800332;1169;684.63;163.59;205;600;650;750;1878
ENGENHEIRO COELHO;SP;599451;886;676.58;216.55;205;600;650;800;2830
ENGENHEIRO NAVARRO;MG;973153;1510;644.47;145.69;205;600;600;700;1686
ENGENHEIRO PAULO DE FRONTIN;RJ;1031945;1554;664.06;141.78;300;600;600;750;1644
ENGENHO VELHO;RS;99201;139;713.68;184.77;375;600;650;800;1252
ENTRE FOLHAS;MG;379602;553;686.44;188.13;205;600;650;750;1970
ENTRE RIOS;BA;5658590;8613;656.98;135.96;180;600;600;750;2170
ENTRE RIOS;SC;291653;432;675.12;152.9;205;600;650;750;1202
ENTRE RIOS DE MINAS;MG;480430;731;657.22;193.08;180;600;650;750;1820
ENTRE RIOS DO OESTE;PR;67001;95;705.27;225.74;300;600;650;800;1444
ENTRE RIOS DO SUL;RS;104199;152;685.52;160.67;205;600;650;750;1152
ENTRE-IJUIS;RS;183656;260;706.37;200.8;255;600;650;800;1636
