Municipio;UF;Total;count;mean;std;min;25%;50%;75%;max
BOCAINA;PI;534138;823;649.01;113.94;300;600;600;700;1294
BOCAINA;SP;346993;520;667.29;178.93;205;600;650;751;1410
BOCAINA DE MINAS;MG;488135;732;666.85;126.07;300;600;636;750;1352
BOCAINA DO SUL;SC;224653;318;706.46;157.83;280;600;650;800;1526
BOCAIUVA;MG;4693426;6944;675.9;166.39;180;600;650;750;2346
BOCAIUVA DO SUL;PR;1238709;1762;703.01;166.72;180;600;650;800;1828
BODO;RN;466590;706;660.89;153.68;263;600;640;750;1710
BODOCO;PE;6096769;9062;672.78;143.33;180;600;650;750;2070
BODOQUENA;MS;507104;697;727.55;215.49;180;600;650;800;1878
BOFETE;SP;500015;715;699.32;186.53;205;600;650;750;1636
BOITUVA;SP;1998710;2862;698.36;162.11;205;600;650;750;1686
BOM CONSELHO;PE;5915333;8553;691.61;159.89;205;600;650;750;2162
BOM DESPACHO;MG;2191918;3112;704.34;167.49;230;600;650;800;1644
BOM JARDIM;MA;4659982;6413;726.65;196.01;50;600;700;800;2888
BOM JARDIM;PE;7054941;10824;651.79;125.75;180;600;600;700;2522
BOM JARDIM;RJ;1578830;2307;684.36;144.45;205;600;650;750;1544
BOM JARDIM DA SERRA;SC;322544;463;696.64;142.89;325;600;650;763;1544
BOM JARDIM DE GOIAS;GO;543434;808;672.57;165.0;205;600;650;750;1886
BOM JARDIM DE MINAS;MG;459387;697;659.09;144.36;280;600;650;750;1628
BOM JESUS;PB;304883;454;671.55;156.06;205;600;650;750;1444
BOM JESUS;PI;3782585;5667;667.48;146.39;180;600;640;750;2062
BOM JESUS;RN;1257365;1918;655.56;151.18;205;600;640;750;2454
BOM JESUS;RS;948214;1319;718.89;174.7;230;600;666;800;1786
BOM JESUS;SC;136208;199;684.46;145.88;325;600;650;750;1262
BOM JESUS DA LAPA;BA;7485346;10694;699.96;176.91;205;600;650;760;2262
BOM JESUS DA PENHA;MG;252545;360;701.51;164.39;305;600;650;751;1928
BOM JESUS DA SERRA;BA;1411573;2081;678.31;155.26;205;600;650;750;1778
BOM JESUS DAS SELVAS;MA;3854308;5284;729.43;200.94;205;600;700;800;2262
BOM JESUS DE GOIAS;GO;1045973;1492;701.05;179.35;205;600;700;800;1786
BOM JESUS DO AMPARO;MG;351189;524;670.21;183.31;205;600;650;755;1778
BOM JESUS DO ARAGUAIA;MT;589384;738;798.62;272.1;180;650;750;900;2454
BOM JESUS DO GALHO;MG;1700006;2554;665.62;141.18;205;600;650;750;2020
BOM JESUS DO ITABAPOANA;RJ;2006861;3032;661.89;182.29;180;600;640;750;2228
BOM JESUS DO NORTE;ES;850949;1303;653.07;150.96;205;600;600;750;1878
BOM JESUS DO OESTE;SC;50899;67;759.69;165.23;280;650;750;830;1202
BOM JESUS DO SUL;PR;170799;242;705.78;160.4;300;600;700;800;1494
BOM JESUS DO TOCANTINS;PA;1685736;2380;708.29;193.67;180;600;700;800;1960
BOM JESUS DO TOCANTINS;TO;558332;754;740.49;195.26;325;600;700;800;1786
BOM JESUS DOS PERDOES;SP;1233780;1797;686.58;171.77;205;600;650;750;2062
BOM LUGAR;MA;1919111;2760;695.33;147.71;220;600;650;750;2040
BOM PRINCIPIO;RS;68783;103;667.8;201.87;205;595;650;800;1160
BOM PRINCIPIO DO PIAUI;PI;890943;1283;694.42;164.48;205;600;650;750;1794
BOM PROGRESSO;RS;176837;262;674.95;142.71;350;600;620;750;1452
BOM REPOUSO;MG;673425;1050;641.36;214.93;205;450;650;750;1536
BOM RETIRO;SC;508934;707;719.85;180.55;180;600;700;800;1494
BOM RETIRO DO SUL;RS;266477;377;706.84;193.32;255;600;650;800;1594
BOM SUCESSO;MG;370484;512;723.6;252.92;230;600;700;800;1928
BOM SUCESSO;PB;662943;1011;655.73;114.13;280;600;600;700;1244
BOM SUCESSO;PR;146391;233;628.29;216.41;205;450;607;750;1394
BOM SUCESSO DE ITARARE;SP;305435;436;700.54;184.56;230;600;650;800;1594
BOM SUCESSO DO SUL;PR;85906;135;636.34;186.42;230;530;640;750;1134
BOMBINHAS;SC;707465;1001;706.76;191.5;280;600;650;800;1970
BONFIM;MG;630091;956;659.09;130.69;180;600;600;700;1886
BONFIM;RR;3016910;4012;751.97;250.04;205;600;650;800;2262
BONFIM DO PIAUI;PI;886428;1345;659.05;149.66;230;600;640;750;1636
BONFINOPOLIS;GO;453765;662;685.45;205.54;205;600;700;800;1886
BONFINOPOLIS DE MINAS;MG;228347;327;698.31;197.01;205;600;700;800;1728
BONINAL;BA;1788774;2572;695.48;157.39;205;600;650;750;1820
BONITO;BA;2175074;3141;692.48;167.73;205;600;650;750;1852
BONITO;MS;1175835;1652;711.76;183.74;205;600;700;800;1686
BONITO;PA;2317962;3435;674.81;129.38;180;600;650;750;1728
BONITO;PE;6645342;10168;653.55;148.24;180;600;600;700;2262
BONITO DE MINAS;MG;1384659;1932;716.7;194.03;300;600;650;800;2312
BONITO DE SANTA FE;PB;1674481;2539;659.5;139.8;280;600;600;750;1644
BONOPOLIS;GO;389805;554;703.62;155.47;255;600;650;793;1444
BOQUEIRAO;PB;2561518;3680;696.06;160.42;50;600;650;750;2262
BOQUEIRAO DO LEAO;RS;311733;446;698.95;149.53;205;600;696;760;1610
BOQUEIRAO DO PIAUI;PI;1014019;1517;668.44;156.91;230;600;640;750;1786
BOQUIM;SE;3348157;5181;646.24;139.35;205;600;600;700;1680
BOQUIRA;BA;2567194;3692;695.34;161.45;205;600;650;750;2028
BORA;SP;28696;46;623.83;195.14;205;592;640;700;1110
