;marca;preco
50;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - XTS150;R$ 949,99
51;Cadeira Gamer, XT Racer Draco, Reclinável Ergonômica, Tecido Polyester, Preto e Azul.;R$ 2.023,12
52;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto e Branco;R$ 466,65
53;Cadeira Gamer Prizi PZ1006E, Até 120 Kg, Couro sintético de PU, Ângulo ajustável, Descanso de pé, Amarela;R$ 439,00
54;Cadeira Gamer Mymax MX0, Até 120Kg, Giratória, Preto e Azul;R$ 381,65
55;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza - CF-9010031-WW;R$ 1.919,99
56;Cadeira Gamer Husky Gaming Storm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BW;R$ 754,99
57;Cadeira Gamer, Prizi, Runner - Amarela;R$ 338,89
58;Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Azul - mgch-8131/bl;R$ 466,65
59;Cadeira Gamer Mymax Mx0, Suporta Até 120kg, Giratória, Preto E Branco;R$ 381,65
60;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - MGCH-MX5/RD;R$ 684,99
61;Cadeira Gamer Vinik Rocket, 120kg, Ajuste de altura e inclinação Preto - CGR10PT;R$ 649,99
62;Cadeira Gamer Corsair T1 Race, Até 120kg, Apoio de Braços 4D, com Almofadas, Reclinável, Preto e Azul - CF-9010014-WW;R$ 1.299,99
63;Cadeira Gamer Alpha Gamer Nimbus,  Até 125 kg, Apoio de Braço 4D, Reclinável, Preto e Cinza- AGNIMBUSBK;R$ 1.199,99
64;Cadeira Gamer Mymax MX8, Até 150Kg, Giratória, Preto e Azul;R$ 594,15
65;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Almofadas, Reclinável, Cilindro Classe 4, Cinza e Branco - CF-9010048-WW;R$ 2.339,99
66;Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB;R$ 749,99
67;Cadeira Gamer Raven X-10, Até 150Kg, com Almofadas, Descanso de Braço 4D, Reclinável, Trava de Inclinação, Preto e Vermelho - CDRVX10PV;R$ 729,99
68;Cadeira Gamer Mymax Mx9, Até 150Kg, Giratória, Preto/Azul;R$ 636,65
69;Cadeira Gamer Husky Gaming Hailstorm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BW;R$ 824,99
70;Cadeira Gamer Mymax MX7, Suportado até 150Kg, Giratória, Preto e Rosa;R$ 679,15
71;Cadeira Gamer Alpha Gamer Kappa, Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Verde - AGKAPPA-BK-GRN;R$ 1.299,99
72;Cadeira Gamer Noblechairs Hero, Black - NBL-HRO-PU-BLA;R$ 2.479,99
73;Cadeira Gamer Husky Gaming Snow, Preto e Vermelho, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BR;R$ 474,99
74;Cadeira Gamer Husky Gaming Storm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BR;R$ 999,99
75;Cadeira Gamer Mymax Mx9, Giratória, Preto/Prata;R$ 636,65
76;Cadeira Gamer ThunderX3 EC3, Até 120 kg,  Preto - 67998;R$ 1.034,99
77;Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Branco - 76421;R$ 1.149,99
